Id,Index,SubIndex,Date,Time,Latitude,Longitude,A,Spin,Knots,Acceleration,Seconds,Elevation
206,20,6,220520,224105,42.17128248,-90.1090613,4163,10.3,7.3,1.235,1,204.10059
207,20,7,220520,224106,42.17131853,-90.10904999,4332,13.1,8,0.36,1,205.10059
208,20,8,220520,224107,42.17135666,-90.10903989,4250,11.1,8.4,0.206,1,206.2998
209,20,9,220520,224108,42.1714,-90.10903,4239,9.6,9.5,0.566,1,206.2998
210,21,0,220520,224104,42.17140289,-90.10890664,4284,274.9,5.9,-1.852,-4,208
211,21,1,220520,224105,42.17140544,-90.10894519,4355,275.1,6.2,0.154,1,207.40039
212,21,2,220520,224106,42.1714067,-90.10897885,4442,272.9,5.4,-0.412,1,207.40039
213,21,3,220520,224107,42.17140973,-90.1090142,3914,276.6,5.7,0.154,1,206.2998
214,21,4,220520,224108,42.17141292,-90.10904826,4130,277.2,5.5,-0.103,1,206.2998
215,21,5,220520,224109,42.17145756,-90.10903753,4852,10.1,9.8,2.212,1,207.7998
216,21,6,220520,224110,42.17150253,-90.10902585,4388,10.9,9.9,0.051,1,209.40039
217,21,7,220520,224111,42.17154882,-90.10901718,3740,7.9,10.1,0.103,1,211
218,21,8,220520,224112,42.17159462,-90.10900839,3606,8.1,10,-0.051,1,211
219,21,9,220520,224113,42.17164,-90.109,4800,7.8,9.9,-0.051,1,213.60059
220,22,0,220520,224119,42.17180949,-90.10899564,4227,357.2,3.2,-1.338,6,218.60059
221,22,1,220520,224120,42.17181134,-90.10899564,5069,0,0.4,-1.44,1,218.60059
222,22,2,220520,224121,42.17181134,-90.10899564,4548,0,0,-0.206,1,218.60059
223,22,3,220520,224122,42.17181364,-90.10899528,4237,6.5,0.5,0.257,1,218.60059
224,22,4,220520,224123,42.1718045,-90.10899335,4128,171.1,2,0.772,1,218.60059
225,22,5,220520,224124,42.1717939,-90.10899208,4077,174.9,2.3,0.154,1,216.90039
226,22,6,220520,224125,42.17178236,-90.10899099,4158,176,2.5,0.103,1,216.90039
227,22,7,220520,224126,42.17177174,-90.10899014,4127,176.6,2.3,-0.103,1,216.90039
228,22,8,220520,224127,42.17176064,-90.10898987,3902,179,2.4,0.051,1,216.90039
229,22,9,220520,224128,42.17175,-90.10899,4008,180.5,2.3,-0.051,1,216.90039
230,23,0,220520,224143,42.17178918,-90.1087882,4184,74.5,6.3,0.103,15,218.60059
231,23,1,220520,224144,42.17179411,-90.10875007,3951,80.1,6.2,-0.051,1,218.60059
232,23,2,220520,224145,42.17179676,-90.10871154,4637,84.7,6.2,0,1,219.40039
