index,acc_ave,distance,speed,time,medianSpin,medianVibration
256,4.62434693877551,5551.528499999999,113.2965,49,188.25,5459.5
257,9.746666666666668,394.74000000000007,43.86000000000001,9,180.3,5126.5
258,13.962666666666667,565.488,62.83200000000001,9,180.85000000000002,5543.0
259,13.747333333333334,556.767,61.86300000000001,9,180.64999999999998,5291.5
260,13.684999999999999,554.2425,61.582499999999996,9,180.7,5363.5
261,15.187591836734693,18232.703999999998,372.09599999999995,49,180.7,5494.5
262,13.821,559.7505,62.1945,9,180.7,5450.0
263,13.843666666666667,560.6685,62.2965,9,180.9,5328.0
264,13.781333333333333,558.144,62.016,9,184.75,5440.5
265,13.792666666666666,558.603,62.06699999999999,9,188.75,5277.5
266,13.730333333333334,556.0785000000001,61.78650000000001,9,188.85000000000002,5293.0
267,15.087673469387754,18112.752,369.648,49,182.3,5414.5
268,13.679333333333332,554.0129999999999,61.55699999999999,9,180.1,5535.5
269,13.775666666666666,557.9145,61.9905,9,179.9,5471.5
270,13.838,560.439,62.270999999999994,9,180.05,5402.5
271,13.736,556.308,61.812,9,179.9,5571.0
272,15.135551020408165,18170.229000000003,370.8210000000001,49,180.05,5531.5
273,13.786999999999999,558.3734999999999,62.04149999999999,9,180.64999999999998,5674.0
274,13.741666666666667,556.5375,61.837500000000006,9,179.95,5497.5
275,13.719000000000001,555.6195,61.7355,9,179.85000000000002,5654.5
276,13.843666666666667,560.6685,62.2965,9,180.25,5282.0
277,15.190714285714286,18236.4525,372.1725,49,180.25,5583.5
278,13.583,550.1115,61.1235,9,179.8,5637.0
279,13.480999999999998,545.9804999999999,60.66449999999999,9,180.25,5443.0
280,14.393333333333334,582.9300000000001,64.77000000000001,9,180.35,5110.5
281,13.243000000000002,536.3415000000001,59.59350000000001,9,178.0,5277.5
282,15.698632653061225,18846.2085,384.61650000000003,49,164.85,5163.5
283,13.622666666666667,551.7180000000001,61.30200000000001,9,152.7,5234.0
284,13.923,563.8815,62.653499999999994,9,145.1,5600.0
285,13.492333333333335,546.4395000000001,60.715500000000006,9,153.55,5538.5
286,13.656666666666666,553.095,61.455000000000005,9,161.64999999999998,5481.0
287,13.968333333333334,565.7175,62.857499999999995,9,171.64999999999998,5503.5
288,15.141795918367349,18177.726000000002,370.97400000000005,49,180.1,5386.5
289,13.605666666666668,551.0295000000001,61.22550000000001,9,180.05,5460.5
290,13.775666666666668,557.9145000000001,61.99050000000001,9,179.8,5009.0
291,6.3806666666666665,258.417,28.712999999999997,9,218.75,4987.5
292,6.590333333333334,266.9085,29.6565,9,270.3,5395.5
293,12.134699925907631,99470568.3,24566.7,4049,269.7,5145.5
294,11.452333333333334,463.8195,51.5355,9,269.75,4948.0
295,11.424,462.67199999999997,51.407999999999994,9,270.1,5130.5
296,11.435333333333334,463.13100000000003,51.459,9,270.45000000000005,5270.0
297,11.378666666666668,460.836,51.204,9,269.95,5317.5
298,12.537673469387755,15051.477,307.173,49,270.35,5191.0
299,11.469333333333333,464.508,51.611999999999995,9,270.0,5219.0
300,11.327666666666666,458.77049999999997,50.9745,9,269.65,5426.5
301,11.395666666666667,461.5245,51.280499999999996,9,270.0,5129.5
302,11.650666666666666,471.852,52.428,9,270.75,5156.0
303,3.4523877551020408,4144.5914999999995,84.58349999999999,49,271.35,5147.0
304,9.554,386.937,42.993,9,269.65,5067.5
305,13.463999999999999,545.2919999999999,60.587999999999994,9,269.9,5409.0
306,13.526333333333332,547.8164999999999,60.86849999999999,9,270.1,5435.0
307,13.781333333333333,558.144,62.016,9,270.05,5267.5
308,13.781333333333333,558.144,62.016,9,270.25,5448.5
309,13.838,560.439,62.270999999999994,9,269.7,5373.0
310,13.775666666666666,557.9145,61.9905,9,269.85,5501.5
311,13.781333333333333,558.144,62.016,9,269.85,5420.0
312,13.838,560.439,62.270999999999994,9,269.75,5541.0
313,13.736,556.308,61.812,9,269.75,5360.5
314,15.085591836734693,18110.253,369.59700000000004,49,269.1,5224.5
315,13.974000000000002,565.9470000000001,62.88300000000001,9,270.05,5281.0
316,14.217666666666666,575.8154999999999,63.979499999999994,9,269.0,5197.5
317,-0.7196666666666667,-29.1465,-3.2385,9,268.15,5267.5
318,10.982,444.77099999999996,49.419,9,269.8,4953.0
319,11.095102040816325,13319.669999999998,271.83,49,269.7,5027.0
320,9.877,400.0185,44.4465,9,269.5,5117.5
321,10.330333333333334,418.37850000000003,46.48650000000001,9,269.75,5020.0
322,7.196666666666666,291.465,32.385,9,252.2,4972.5
323,2.2553333333333336,91.34100000000001,10.149000000000001,9,213.8,4641.5
324,0.04995918367346939,59.976,1.224,49,0.0,4134.0
325,0.051000000000000004,2.0655,0.2295,9,0.0,4084.0
326,0.0,0.0,0.0,9,0.0,4140.5
327,0.0,0.0,0.0,9,0.0,4112.5
328,0.0,0.0,0.0,9,0.0,4114.0
329,0.0,0.0,0.0,9,0.0,4115.5
330,0.0,0.0,0.0,9,0.0,4116.0
331,0.0,0.0,0.0,9,0.0,4113.5
332,0.0,0.0,0.0,9,0.0,4111.5
333,0.0,0.0,0.0,9,0.0,4114.5
334,0.0,0.0,0.0,49,0.0,4112.0
335,0.0,0.0,0.0,9,0.0,4112.5
336,0.0,0.0,0.0,9,0.0,4112.0
337,0.0,0.0,0.0,9,0.0,4110.0
338,0.0,0.0,0.0,9,0.0,4112.5
339,0.0,0.0,0.0,49,0.0,4111.5
340,0.0,0.0,0.0,9,0.0,4105.5
341,0.0,0.0,0.0,9,0.0,4113.0
342,0.0,0.0,0.0,9,0.0,4111.5
343,0.0,0.0,0.0,9,0.0,4111.0
344,0.0,0.0,0.0,49,0.0,4112.0
345,0.0,0.0,0.0,9,0.0,4111.5
346,0.0,0.0,0.0,9,0.0,4111.0
347,0.0,0.0,0.0,9,0.0,4112.5
348,0.0,0.0,0.0,9,0.0,4111.0
349,0.0,0.0,0.0,9,0.0,4112.0
350,0.0,0.0,0.0,9,0.0,4113.0
351,0.0,0.0,0.0,9,0.0,4113.5
352,0.0,0.0,0.0,9,0.0,4114.0
353,0.0,0.0,0.0,9,0.0,4111.5
354,0.0,0.0,0.0,9,0.0,4114.5
355,0.0,0.0,0.0,49,0.0,4115.0
356,0.0,0.0,0.0,9,0.0,4114.5
357,0.0,0.0,0.0,9,0.0,4114.0
358,0.0,0.0,0.0,9,0.0,4113.0
359,0.0,0.0,0.0,9,0.0,4114.0
360,0.0,0.0,0.0,49,0.0,4115.5
361,-0.005666666666666667,-0.2295,-0.025500000000000002,9,0.0,4109.0
362,0.0,0.0,0.0,9,0.0,4108.0
363,-0.005666666666666667,-0.2295,-0.025500000000000002,9,0.0,4235.5
364,0.0,0.0,0.0,9,0.0,4223.0
365,0.0,0.0,0.0,49,0.0,4101.0
366,0.051000000000000004,2.0655,0.2295,9,0.0,4094.5
367,0.0,0.0,0.0,9,0.0,4118.0
368,0.0,0.0,0.0,9,0.0,4160.5
369,-0.10200000000000001,-4.131,-0.459,9,12.2,4176.5
370,0.20400000000000001,8.262,0.918,9,0.0,4112.5
371,0.0,0.0,0.0,9,0.0,4105.0
372,-0.3003333333333334,-12.163500000000003,-1.3515000000000004,9,244.8,4134.0
373,3.2073333333333336,129.89700000000002,14.433000000000002,9,251.05,4295.0
374,3.1903333333333332,129.2085,14.356499999999999,9,247.25,4260.5
375,3.7343333333333337,151.24050000000003,16.804500000000004,9,235.65,4244.5
376,4.380333333333334,177.4035,19.7115,9,0.0,4220.5
377,0.005666666666666667,0.2295,0.025500000000000002,9,35.35,4249.0
378,0.01353061224489796,16.2435,0.3315,49,231.25,4296.0
379,3.6889999999999996,149.40449999999998,16.600499999999997,9,215.05,4266.0
380,4.380333333333334,177.4035,19.7115,9,0.0,4220.5
381,0.005666666666666667,0.2295,0.025500000000000002,9,35.35,4249.0
382,0.01353061224489796,16.2435,0.3315,49,231.25,4296.0
383,3.6889999999999996,149.40449999999998,16.600499999999997,9,215.05,4266.0
384,4.2556666666666665,172.3545,19.1505,9,183.7,4239.5
385,5.088666666666667,206.091,22.899,9,182.14999999999998,4187.5
386,4.981,201.7305,22.4145,9,184.4,4250.0
387,5.444510204081633,6536.1345,133.3905,49,210.55,4164.5
388,4.941333333333334,200.12400000000002,22.236000000000004,9,239.75,4078.5
389,4.8676666666666675,197.14050000000003,21.904500000000002,9,234.75,4250.0
390,5.071666666666666,205.40249999999997,22.822499999999998,9,234.0,4151.5
391,5.083,205.8615,22.8735,9,238.8,4130.5
392,5.1226666666666665,207.468,23.052,9,209.2,4038.5
393,4.289666666666667,173.7315,19.3035,9,245.05,4229.5
394,5.264333333333333,213.2055,23.6895,9,244.1,4173.5
